drg_cd,drg_desc,unweighted_ratio,estimated_total_charges,estimated_total_medicare_payments,total_discharges,weighted_ratio,difference,unweighted_rank,weighted_rank,rank_change
652,KIDNEY TRANSPLANT,13.991270746630807,2080521861.00289,164250775.0001,6202,12.666739995605035,1.3245307510257724,1.0,1.0,0.0
627,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITHOUT CC/MCC",7.465949718830782,20895593.999113,2014433.0000056997,216,10.372940673159087,-2.9069909543283057,69.0,2.0,67.0
087,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,10.334007549216217,72430183.000065,7075366.0000122,1091,10.236952123740327,0.09705542547589019,3.0,3.0,0.0
651,KIDNEY TRANSPLANT WITH HEMODIALYSIS WITHOUT MCC,11.042152718276574,185556375.9996,18981129.000015,487,9.775834514345977,1.266318203930597,2.0,4.0,-2.0
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC,9.880385259856656,9842469.0,1018991.0000029,263,9.659034279961245,0.2213509798954103,5.0,5.0,0.0
068,PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,9.571110132594717,33123015.999951,3512407.0000061,549,9.430289826860463,0.14082030573425364,6.0,6.0,0.0
446,DISORDERS OF THE BILIARY TRACT WITHOUT CC/MCC,9.310463064866177,24372149.000028998,2588517.0000019,495,9.41548732344084,-0.10502425857466235,11.0,7.0,4.0
069,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,9.113606038434577,1074413706.0005577,114620570.0000035,20244,9.37365523483721,-0.26004919640263324,16.0,8.0,8.0
103,HEADACHES WITHOUT MCC,9.256089000076448,119912082.0000042,12845334.9999971,2179,9.335068489847192,-0.07897948977074343,13.0,9.0,4.0
650,KIDNEY TRANSPLANT WITH HEMODIALYSIS WITH MCC,10.132530445729618,905954262.9991,97603351.000095,2130,9.28199958009862,0.8505308656309971,4.0,10.0,-6.0
149,DYSEQUILIBRIUM,9.16526862791693,366386907.0001193,39989090.9999923,7721,9.162171428207504,0.003097199709426235,15.0,11.0,4.0
419,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITHOUT CC/MCC,9.465130923871394,202962840.000037,22170096.9999985,2460,9.154801623107502,0.3103293007638914,8.0,12.0,-4.0
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",9.56140417675674,253894985.0001024,27775628.0000198,5809,9.140926894611399,0.42047728214534175,7.0,13.0,-6.0
307,CARDIAC CONGENITAL AND VALVULAR DISORDERS WITHOUT MCC,9.322070810722757,18057879.00019,1979276.0000002,214,9.123476968441075,0.19859384228168153,10.0,14.0,-4.0
351,INGUINAL AND FEMORAL HERNIA PROCEDURES WITH CC,8.808871099509028,14359610.000002,1599910.9999882001,136,8.975255498654555,-0.16638439914552627,19.0,15.0,4.0
743,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITHOUT CC/MCC,9.225826202190671,29571791.999909,3302381.9999985,386,8.954685436125327,0.27114076606534354,14.0,16.0,-2.0
066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,9.329680297099186,415194333.9998778,46529479.999995,9902,8.923253257932872,0.4064270391663136,9.0,17.0,-8.0
322,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITHOUT MCC,9.280547776346975,5307369240.995353,600520808.9996297,46534,8.837943933760712,0.4426038425862622,12.0,18.0,-6.0
