rndrng_prvdr_ccn,rndrng_prvdr_org_name,rndrng_prvdr_state_abrvtn,unweighted_ratio,estimated_total_charges,estimated_total_medicare_payments,total_discharges,weighted_ratio,difference,unweighted_rank,weighted_rank,rank_change
310044,Capital Health Medical Center - Hopewell,NJ,30.253010057546607,520816845.00035,17881752.0001556,1447,29.125604974043817,1.12740508350279,1.0,1.0,0.0
310092,Capital Health Regional Medical Center,NJ,28.482212231084063,516482765.99906,19841522.9999631,1109,26.030399279330545,2.451812951753517,2.0,2.0,0.0
310025,Carepoint Health - Bayonne Medical Center,NJ,23.682463542000697,155215349.99942002,7245225.0000033,502,21.423123505391388,2.2593400366093093,3.0,3.0,0.0
290054,Centennial Hills Hospital Medical Center,NV,20.42633860474606,530763518.998948,26974881.9998332,2334,19.676212819104453,0.7501257856416075,5.0,4.0,1.0
010040,Gadsden Regional Medical Center,AL,21.438659809757826,156479127.999733,7967602.0000003,1047,19.639425764455492,1.7992340453023346,4.0,5.0,-1.0
290041,Summerlin Hospital Medical Center,NV,18.92713653015991,484131005.999582,25724514.0000593,2373,18.81983099849684,0.10730553166306933,13.0,6.0,7.0
010131,Crestwood Medical Center,AL,20.10092345736974,224692120.000251,11950714.9999542,1440,18.801562919131793,1.299360538237945,7.0,7.0,0.0
490112,Cjw Medical Center,VA,17.557760146382464,1606102130.000182,87904530.9998371,7790,18.270982300140574,-0.7132221537581103,19.0,8.0,11.0
050464,Doctors Medical Center,CA,19.403441714185867,1002529118.00342,55329811.0000197,2691,18.11914951242221,1.2842922017636553,9.0,9.0,0.0
310016,Carepoint Health-Christ Hospital,NJ,19.114469744861804,40900755.00018,2263032.0000058003,157,18.07343201513508,1.0410377297267246,11.0,10.0,1.0
100259,Hca Florida South Shore Hospital,FL,19.617813259211445,208824029.00093,11591952.0000271,1474,18.01456984987876,1.6032434093326842,8.0,11.0,-3.0
150166,Pinnacle Hospital,IN,18.730926717084483,52438657.999929994,2912696.000015,109,18.00347787742351,0.7274488396609726,14.0,12.0,2.0
450668,Sierra Medical Center,TX,18.133314169081512,170883958.000608,9641111.0000327,766,17.724508928486394,0.40880524059511814,16.0,13.0,3.0
010104,Grandview Medical Center,AL,18.46594988687595,717899599.00062,40765280.0000521,4006,17.610564652069176,0.855385234806775,15.0,14.0,1.0
450651,Medical City Plano,TX,16.573950550180754,1485256380.992691,84394983.0001442,5131,17.598870551228778,-1.0249200010480237,34.0,15.0,19.0
100258,Delray Medical Center,FL,19.095846052475896,1098639398.999003,62523268.9997941,6127,17.571688374173476,1.5241576783024193,12.0,16.0,-4.0
100054,Hca Florida Twin Cities Hospital,FL,20.34548781863593,61167654.999749996,3508444.0000051,428,17.434411094964343,2.911076723671588,6.0,17.0,-11.0
010139,Brookwood Baptist Medical Center,AL,17.819326706510985,206747250.999322,11874517.999999199,906,17.4110015243849,0.4083251821260845,17.0,18.0,-1.0
250138,Merit Health River Oaks,MS,17.134211444803817,150783032.99928498,8683090.0000463,726,17.365135337590765,-0.23092389278694725,25.0,19.0,6.0
290057,Henderson Hospital,NV,17.35855839143523,517666695.99932903,29901811.999997,2641,17.312218269561086,0.04634012187414527,23.0,20.0,3.0
060034,Hca Healthone Swedish,CO,17.40843861094811,736247863.000349,42670456.9998899,2698,17.254276489287395,0.15416212166071475,21.0,21.0,0.0
290021,Valley Hospital Medical Center,NV,16.848785964059648,364904360.99877,21373919.000014298,1498,17.07241245737508,-0.22362649331543238,29.0,22.0,7.0
450647,Medical City Dallas,TX,15.910594784837558,1110982316.999237,66098971.0000239,3586,16.80786100284126,-0.8972662180037023,46.0,23.0,23.0
050380,Good Samaritan Hospital,CA,17.694965100127135,1109669865.001686,66609633.0001488,3755,16.659300089511184,1.0356650106159506,18.0,24.0,-6.0
100236,Hca Florida Fawcett Hospital,FL,19.135178188365053,523654973.00033903,31526738.9997894,2966,16.609867991860405,2.5253101965046483,10.0,25.0,-15.0
050125,Regional Medical Center Of San Jose,CA,17.064154561291765,419283925.00176,25457726.999899,1352,16.469809932498038,0.5943446287937277,26.0,26.0,0.0
050481,Ucla West Valley Medical Center,CA,16.533567858432402,498091375.001235,30290357.000057198,2078,16.443892523296917,0.08967533513548531,35.0,27.0,8.0
100126,Hca Florida Pasadena Hospital,FL,17.501538741447554,81980471.999962,4987149.999980699,536,16.438340936262048,1.0631978051855064,20.0,28.0,-8.0
310028,Newton Medical Center,NJ,17.382156431965647,351532291.001726,21529161.9999579,2387,16.328192012416153,1.0539644195494944,22.0,29.0,-7.0
450672,Medical City Fort Worth,TX,14.560479522382598,537881798.000378,33184441.9999276,2144,16.208854679598094,-1.6483751572154954,73.0,30.0,43.0
490118,Henrico Doctors' Hospital,VA,15.89404734376478,839034461.000105,51912778.0001618,4668,16.16238801548031,-0.26834067171552967,47.0,31.0,16.0
450775,Hca Houston Healthcare Kingwood,TX,16.44307465493708,1100729503.001226,68748423.0001068,5097,16.010978215449626,0.4320964394874558,37.0,32.0,5.0
030101,Western Arizona Regional Medical Center,AZ,17.060490291412084,124463585.00088,7820273.9999803,782,15.915501809935757,1.144988481476327,27.0,33.0,-6.0
100176,Palm Beach Gardens Medical Center,FL,16.647551146931725,405022661.998402,25645504.999949,2309,15.793124838025511,0.8544263089062145,32.0,34.0,-2.0
370014,Alliancehealth Durant,OK,16.210333323742738,168625865.000085,10709411.0000461,1367,15.745577884662296,0.4647554390804416,40.0,35.0,5.0
